sme_id,date,year,month,quarter,industry,state,grid_factor,tariff_per_kwh,monthly_kwh,fuel_litres,fuel_type,electricity_co2_kg,fuel_co2_kg,total_co2_kg,electricity_cost_rs,is_monsoon,is_peak_month,is_festival_month,kwh_rolling_3m,kwh_rolling_6m,kwh_lag_1m,kwh_lag_3m,co2_rolling_3m
SME_0000,2022-01-01,2022,1,1,chemicals,chhattisgarh,0.92,8.03,43589.02,871.78,diesel,40101.9,2336.37,42438.27,350057.35,0,0,0,43589.02,43589.02,43589.02,43589.02,42438.27
SME_0000,2022-01-31,2022,1,1,chemicals,chhattisgarh,0.92,8.03,46846.52,933.82,diesel,43098.8,2502.64,45601.44,376217.88,0,0,0,45217.77,45217.77,43589.02,43589.02,44019.86
SME_0000,2022-03-02,2022,3,1,chemicals,chhattisgarh,0.92,8.03,56654.18,1035.87,diesel,52121.85,2776.13,54897.98,454981.84,0,1,0,49029.91,49029.91,46846.52,43589.02,47645.9
SME_0000,2022-04-01,2022,4,2,chemicals,chhattisgarh,0.92,8.03,57882.94,1042.0,diesel,53252.3,2792.56,56044.86,464849.84,0,1,0,53794.55,51243.16,56654.18,43589.02,52181.43
SME_0000,2022-05-01,2022,5,2,chemicals,chhattisgarh,0.92,8.03,57086.88,1036.92,diesel,52519.93,2778.95,55298.88,458456.79,0,1,0,57208.0,52411.91,57882.94,46846.52,55413.91
SME_0000,2022-05-31,2022,5,2,chemicals,chhattisgarh,0.92,8.03,55132.15,998.13,diesel,50721.58,2674.99,53396.57,442758.63,0,1,0,56700.66,52865.28,57086.88,56654.18,54913.44
SME_0000,2022-06-30,2022,6,2,chemicals,chhattisgarh,0.92,8.03,33551.24,626.54,diesel,30867.14,1679.13,32546.27,269445.34,1,0,0,48590.09,51192.32,55132.15,57882.94,47080.57
SME_0000,2022-07-30,2022,7,3,chemicals,chhattisgarh,0.92,8.03,47519.34,928.72,diesel,43717.79,2488.97,46206.76,381621.21,1,0,0,45400.91,51304.45,33551.24,57086.88,44049.87
SME_0000,2022-08-29,2022,8,3,chemicals,chhattisgarh,0.92,8.03,44736.51,917.36,diesel,41157.59,2458.52,43616.11,359272.69,1,0,0,41935.7,49318.18,47519.34,55132.15,40789.71
SME_0000,2022-09-28,2022,9,3,chemicals,chhattisgarh,0.92,8.03,43848.97,932.16,diesel,40341.05,2498.19,42839.24,352144.98,1,1,0,45368.27,46979.18,44736.51,33551.24,44220.7
SME_0000,2022-10-28,2022,10,4,chemicals,chhattisgarh,0.92,8.03,52865.51,1052.68,diesel,48636.27,2821.18,51457.45,424555.55,0,1,1,47150.33,46275.62,43848.97,47519.34,45970.93
SME_0000,2022-11-27,2022,11,4,chemicals,chhattisgarh,0.92,8.03,40146.28,785.15,diesel,36934.58,2104.2,39038.78,322409.19,0,0,1,45620.25,43777.98,52865.51,44736.51,44445.16
SME_0000,2022-12-27,2022,12,4,chemicals,chhattisgarh,0.92,8.03,38950.07,788.46,diesel,35834.06,2113.07,37947.13,312802.59,0,0,0,43987.29,44677.78,40146.28,43848.97,42814.45
SME_0000,2023-01-26,2023,1,1,chemicals,chhattisgarh,0.92,8.03,34776.92,666.65,diesel,31994.77,1786.62,33781.39,279288.61,0,0,0,37957.76,42554.04,38950.07,52865.51,36922.43
SME_0000,2023-02-25,2023,2,1,chemicals,chhattisgarh,0.92,8.03,43670.29,794.73,diesel,40176.67,2129.88,42306.55,350710.02,0,0,0,39132.43,42376.34,34776.92,40146.28,38011.69
SME_0000,2023-03-27,2023,3,1,chemicals,chhattisgarh,0.92,8.03,66487.13,1165.49,diesel,61168.16,3123.51,64291.67,533948.89,0,1,0,48311.45,46149.37,43670.29,38950.07,46793.2
SME_0000,2023-04-26,2023,4,2,chemicals,chhattisgarh,0.92,8.03,80019.45,1381.23,diesel,73617.89,3701.7,77319.59,642625.07,0,1,0,63392.29,50675.02,66487.13,34776.92,61305.94
SME_0000,2023-05-26,2023,5,2,chemicals,chhattisgarh,0.92,8.03,65624.54,1143.11,diesel,60374.58,3063.53,63438.11,527021.55,0,1,0,70710.37,54921.4,80019.45,43670.29,68349.79
SME_0000,2023-06-25,2023,6,2,chemicals,chhattisgarh,0.92,8.03,47774.42,858.48,diesel,43952.47,2300.73,46253.2,383669.72,1,0,0,64472.8,56392.12,65624.54,66487.13,62336.97
