company_id,industry,state,grid_factor,annual_kwh,monthly_kwh_avg,revenue_lakhs,annual_co2_kg,co2_per_lakh_revenue,energy_efficiency,solar_percent,ev_percent,has_rec,has_iso14001,tariff_avg,carbon_score,grade,grade_encoded
COMP_0000,pharma,tamil_nadu,0.68,258473.32,21539.44,5229.17,175761.86,33.61,0.2188,0,5,0,1,8.03,51.7,B,2
COMP_0001,it_services,bihar,0.84,52468.71,4372.39,576.25,44073.72,76.48,0.9635,20,5,0,0,8.68,69.5,B+,3
COMP_0002,chemicals,tamil_nadu,0.68,296228.43,24685.7,5547.35,391969.46,70.66,0.4618,0,0,0,0,8.41,42.6,C,1
COMP_0003,it_services,rajasthan,0.88,96425.82,8035.48,1703.2,84854.72,49.82,0.7277,30,0,0,1,8.89,69.6,B+,3
COMP_0004,paper,bihar,0.84,268203.99,22350.33,5782.85,397800.16,68.79,0.4937,0,5,0,0,7.34,52.6,B,2
COMP_0005,pharma,karnataka,0.62,361339.01,30111.58,4552.42,224030.18,49.21,0.1938,25,0,0,1,8.23,51.2,B,2
COMP_0006,food_processing,karnataka,0.62,358218.45,29851.54,5770.83,452501.55,78.41,0.0,15,0,0,0,6.61,42.1,C,1
COMP_0007,it_services,uttar_pradesh,0.85,155300.52,12941.71,2185.97,231894.74,106.08,0.155,10,30,0,0,9.17,39.4,C,1
COMP_0008,cement,jharkhand,0.89,366947.06,30578.92,5423.81,562603.23,103.73,0.74,10,0,1,0,6.71,56.0,B,2
COMP_0009,plastics,punjab,0.76,354453.9,29537.83,6206.94,269384.97,43.4,0.2917,0,0,0,0,7.72,48.6,C,1
COMP_0010,steel,telangana,0.74,950909.43,79242.45,22242.54,1315297.92,59.13,0.1838,25,30,0,0,7.22,40.7,C,1
COMP_0011,food_processing,kerala,0.42,320413.13,26701.09,3477.8,134573.52,38.7,0.3191,0,0,0,0,6.58,45.6,C,1
COMP_0012,it_services,telangana,0.74,151504.25,12625.35,1834.88,112113.14,61.1,0.2528,0,0,0,0,9.55,42.5,C,1
COMP_0013,cement,tamil_nadu,0.68,497434.59,41452.88,9605.19,658205.45,68.53,0.6993,10,0,0,0,6.59,60.3,B,2
COMP_0014,food_processing,gujarat,0.82,229793.38,19149.45,5021.52,336233.67,66.96,0.4462,5,5,1,0,7.45,60.0,B,2
COMP_0015,steel,uttar_pradesh,0.85,280332.33,23361.03,2632.39,418592.24,159.02,0.6129,5,0,0,0,6.76,36.5,C,1
COMP_0016,textile,chhattisgarh,0.92,209058.84,17421.57,3316.85,192334.14,57.99,0.2096,0,5,0,0,7.45,42.6,C,1
COMP_0017,steel,madhya_pradesh,0.83,485353.9,40446.16,9675.91,402843.73,41.63,0.7241,0,15,0,0,7.45,61.9,B,2
