scenario_id,industry,state,grid_factor,solar_irradiation,monthly_kwh,baseline_co2_kg,tariff_per_kwh,solar_percent,ev_percent,peak_shift_hours,solar_co2_saved,ev_co2_saved,peak_co2_saved,total_co2_saved_kg,new_monthly_co2_kg,cost_saved_rs_month,cost_saved_rs_year,reduction_percent
SIM_00000,auto_components,haryana,0.8,5.1,14364.74,11491.79,6.84,22.81,9.28,2.5,2792.04,128.55,573.77,3380.16,8111.63,32080.71,384968.5,29.41
SIM_00001,paper,kerala,0.42,4.2,19099.27,8021.69,7.57,11.69,41.2,3.75,871.89,1343.99,601.7,2904.78,5116.91,74551.18,894614.14,36.21
SIM_00002,chemicals,jharkhand,0.89,4.6,46167.03,41088.66,8.22,14.47,7.09,1.94,5887.44,265.96,1595.78,7146.93,33941.73,73666.66,883999.89,17.39
SIM_00003,chemicals,karnataka,0.62,5.3,20010.61,12406.58,6.95,17.09,58.39,6.87,2321.37,1734.74,1703.83,5582.96,6823.61,112372.76,1348473.09,45.0
SIM_00004,auto_components,chhattisgarh,0.92,4.9,10799.02,9935.1,6.67,72.89,23.66,1.54,6954.57,281.45,305.17,7951.24,1983.86,67157.78,805893.39,80.03
SIM_00005,it_services,haryana,0.8,5.1,2141.79,1713.43,8.95,7.74,7.68,6.55,141.33,52.98,224.59,443.17,1270.26,5106.27,61275.18,25.86
SIM_00006,cement,delhi,0.72,4.9,68524.05,49337.32,7.43,41.38,31.49,0.94,21132.24,2609.61,931.04,25935.11,23402.21,350201.18,4202414.17,52.57
SIM_00007,textile,uttar_pradesh,0.85,4.8,22234.37,18899.22,7.69,7.02,49.88,5.41,1352.93,1609.67,2046.16,4851.09,14048.12,105063.64,1260763.72,25.67
SIM_00008,plastics,haryana,0.8,5.1,9263.27,7410.61,6.97,63.51,43.09,3.87,5012.01,679.68,573.53,6120.34,1290.27,80714.44,968573.23,82.59
SIM_00009,it_services,uttar_pradesh,0.85,4.8,10813.14,9191.17,9.65,50.2,53.0,6.4,4706.67,739.12,1176.26,6719.85,2471.32,97504.7,1170056.43,73.11
SIM_00010,textile,maharashtra,0.79,5.1,12002.5,9481.98,6.53,11.29,59.85,1.58,1140.29,1174.42,298.71,2572.98,6909.0,71186.73,854240.81,27.14
SIM_00011,paper,rajasthan,0.88,5.8,31019.6,27297.24,7.92,67.14,16.51,1.76,19108.07,569.83,960.17,20738.04,6559.2,206068.82,2472825.81,75.97
SIM_00012,pharma,gujarat,0.82,5.6,12849.9,10536.92,8.25,79.63,0.68,7.26,7375.84,8.06,1528.92,8688.73,1848.19,79292.05,951504.55,82.46
SIM_00013,cement,maharashtra,0.79,5.1,59747.13,47200.23,6.89,2.51,0.47,5.98,1262.59,47.41,5642.21,6562.29,40637.94,28227.61,338731.32,13.9
SIM_00014,auto_components,haryana,0.8,5.1,30250.77,24200.62,6.81,42.95,49.89,2.07,11068.55,1363.43,1004.12,12995.15,11205.47,168168.92,2018027.1,53.7
SIM_00015,plastics,kerala,0.42,4.2,16744.85,7032.84,8.07,17.08,17.13,6.78,1117.35,456.05,953.85,2349.16,4683.68,45844.1,550129.16,33.4
SIM_00016,it_services,chhattisgarh,0.92,4.9,7057.12,6492.55,10.06,56.85,0.83,5.45,3820.34,5.89,707.17,4239.78,2252.77,44416.53,532998.42,65.3
SIM_00017,textile,chhattisgarh,0.92,4.9,19666.48,18093.17,6.83,59.23,6.89,3.57,11091.59,136.41,1290.61,11680.32,6412.85,92990.51,1115886.17,64.56
SIM_00018,auto_components,chhattisgarh,0.92,4.9,44600.9,41032.83,7.45,52.43,14.84,1.21,22266.39,642.79,994.62,22353.6,18679.23,219316.77,2631801.26,54.48
SIM_00019,it_services,west_bengal,0.9,4.5,10532.77,9479.49,9.6,10.06,46.67,5.32,929.83,409.63,1008.63,2830.3,6649.19,36193.75,434325.06,29.86
SIM_00020,pharma,chhattisgarh,0.92,4.9,31807.43,29262.83,8.82,49.67,27.47,6.33,15044.37,871.57,3702.22,17254.19,12008.64,204696.18,2456354.11,58.96
SIM_00021,pharma,uttar_pradesh,0.85,4.8,20899.87,17764.89,7.25,36.27,3.08,3.19,6571.69,102.08,1133.38,7529.87,10235.02,64479.16,773749.95,42.39
SIM_00022,steel,kerala,0.42,4.2,78305.21,32888.19,5.84,7.7,49.25,3.61,2354.9,5372.42,2371.91,10752.31,22135.88,264842.07,3178104.88,32.69
SIM_00023,it_services,gujarat,0.82,5.6,8566.61,7024.62,10.1,69.46,8.09,1.33,4917.23,111.37,186.42,5258.3,1766.32,67152.72,805832.69,74.86
SIM_00024,cement,tamil_nadu,0.68,5.0,41182.43,28004.05,6.62,49.02,12.31,0.01,14414.71,654.94,6.18,14350.26,13653.79,172060.9,2064730.83,51.24
SIM_00025,paper,maharashtra,0.79,5.1,9998.51,7898.82,8.06,75.17,2.71,2.88,5529.17,42.09,455.37,5514.98,2383.84,60019.48,720233.77,69.82
SIM_00026,auto_components,kerala,0.42,4.2,15217.32,6391.28,7.84,18.78,4.34,2.45,1116.31,112.35,313.22,1749.21,4642.07,27247.14,326965.64,27.37
SIM_00027,plastics,maharashtra,0.79,5.1,17492.56,13819.13,8.44,42.96,12.65,5.88,6321.89,363.84,1624.03,7804.66,6014.47,91644.74,1099736.83,56.48
SIM_00028,chemicals,gujarat,0.82,5.6,55552.35,45552.92,7.06,64.92,8.6,1.72,31887.05,742.65,1569.77,37330.18,8222.74,318151.94,3817823.3,81.95
SIM_00029,auto_components,maharashtra,0.79,5.1,38816.79,30665.26,6.63,38.56,55.92,7.39,12592.47,3417.26,4531.89,20251.51,10413.75,294669.48,3536033.77,66.04
SIM_00030,plastics,chhattisgarh,0.92,4.9,21981.48,20222.96,8.0,41.87,23.15,1.66,8764.75,738.77,670.47,10913.7,9309.26,120200.16,1442401.95,53.97
SIM_00031,auto_components,delhi,0.72,4.9,47442.86,34158.86,7.45,42.04,7.75,6.16,14861.34,462.57,4207.08,17687.43,16471.43,189781.37,2277376.42,51.78
SIM_00032,paper,uttar_pradesh,0.85,4.8,7278.21,6186.48,7.44,44.09,40.35,6.25,2782.46,346.37,773.35,3382.64,2803.84,45148.15,541777.83,54.68
SIM_00033,cement,punjab,0.76,5.0,61977.62,47102.99,6.62,68.42,33.67,6.74,32972.09,3246.7,6345.12,44268.94,2834.05,469030.02,5628360.28,93.98
SIM_00034,textile,west_bengal,0.9,4.5,23166.21,20849.59,6.98,33.79,31.55,4.54,6869.04,880.64,1892.18,9570.17,11279.42,107188.69,1286264.34,45.9
SIM_00035,textile,maharashtra,0.79,5.1,24134.22,19066.03,8.0,27.04,58.06,1.3,5490.05,1886.3,494.21,8161.06,10904.98,155115.85,1861390.16,42.8
SIM_00036,cement,jharkhand,0.89,4.6,66744.1,59402.25,6.4,55.3,24.84,3.79,32522.3,1398.62,4500.65,36432.3,22969.95,321511.66,3858139.94,61.33
SIM_00037,textile,telangana,0.74,5.2,10069.22,7451.22,7.18,33.84,20.87,6.78,2723.44,325.35,1010.5,4417.74,3033.49,45718.84,548626.09,59.29
SIM_00038,auto_components,kerala,0.42,4.2,16090.81,6758.14,8.23,62.08,4.41,5.93,3901.85,146.54,801.97,4108.0,2650.14,87228.62,1046743.43,60.79
SIM_00039,chemicals,tamil_nadu,0.68,5.0,43166.74,29353.38,8.32,78.6,46.78,4.98,20547.37,1884.19,2924.53,29261.23,92.15,352974.69,4235696.33,99.69
SIM_00040,cement,jharkhand,0.89,4.6,82071.02,73043.21,6.11,63.82,56.61,4.98,46148.38,3861.31,7277.45,60605.85,12437.35,547359.35,6568312.21,82.97
SIM_00041,paper,uttar_pradesh,0.85,4.8,29207.06,24826.0,6.81,34.12,47.13,6.42,8640.06,1693.46,3189.68,14737.01,10088.99,168693.34,2024320.12,59.36
SIM_00042,steel,punjab,0.76,5.0,31809.46,24175.19,7.67,54.96,16.09,5.11,13952.02,688.13,2469.04,18655.9,5519.29,183373.54,2200482.53,77.17
SIM_00043,chemicals,karnataka,0.62,5.3,44634.34,27673.29,8.97,61.24,54.63,4.08,18558.13,2916.03,2256.37,26378.12,1295.17,413821.95,4965863.38,95.32
SIM_00044,paper,karnataka,0.62,5.3,8069.14,5002.87,7.87,42.48,54.27,0.91,2327.28,466.62,91.23,2847.2,2155.66,51578.75,618945.05,56.91
SIM_00045,pharma,rajasthan,0.88,5.8,31489.31,27710.6,8.18,49.71,27.31,2.36,16117.76,776.48,1308.44,16788.05,10922.55,196517.8,2358213.65,60.58
SIM_00046,cement,tamil_nadu,0.68,5.0,60683.44,41264.74,5.96,62.21,14.74,3.25,26953.49,871.91,2680.89,32093.24,9171.49,285360.08,3424320.96,77.77
SIM_00047,steel,bihar,0.84,4.7,26190.65,22000.14,7.13,9.28,57.09,5.26,2052.88,1803.78,2313.22,6015.21,15984.93,120397.63,1444771.57,27.34
SIM_00048,chemicals,bihar,0.84,4.7,36353.25,30536.73,8.09,65.58,24.89,3.78,20125.26,1266.94,2311.56,20550.28,9986.45,268621.1,3223453.18,67.3
SIM_00049,cement,telangana,0.74,5.2,82059.72,60724.19,7.09,69.38,49.37,3.16,42506.93,4037.25,3836.85,55084.88,5639.31,621319.8,7455837.63,90.71
SIM_00050,chemicals,maharashtra,0.79,5.1,45486.43,35934.28,7.05,71.95,34.44,1.98,25154.0,1901.93,1425.21,25903.21,10031.07,327200.12,3926401.4,72.08
SIM_00051,food_processing,jharkhand,0.89,4.6,6248.14,5560.85,6.45,61.91,0.61,1.38,3408.24,4.54,153.45,3489.0,2071.84,25280.43,303365.19,62.74
SIM_00052,food_processing,andhra_pradesh,0.72,5.4,6083.24,4379.93,7.84,33.85,46.22,2.08,1645.51,321.98,182.05,1960.63,2419.31,34469.32,413631.86,44.76
SIM_00053,it_services,maharashtra,0.79,5.1,2788.52,2202.93,9.21,31.94,31.45,2.36,749.3,211.3,104.13,1091.18,1111.75,20083.35,241000.23,49.53
SIM_00054,paper,chhattisgarh,0.92,4.9,39327.67,36181.45,8.1,28.93,5.1,6.3,10833.64,201.76,4562.05,17052.95,19128.51,118968.49,1427621.9,47.13
SIM_00055,auto_components,odisha,0.91,4.7,36689.13,33387.11,6.87,0.81,23.92,1.66,270.18,1092.87,1109.83,2340.95,31046.16,66489.3,797871.63,7.01
SIM_00056,chemicals,madhya_pradesh,0.83,5.3,38356.47,31835.87,6.76,41.57,51.53,6.59,14491.39,2515.4,4193.12,20966.09,10869.78,262625.38,3151504.61,65.86
SIM_00057,steel,tamil_nadu,0.68,5.0,39488.1,26851.91,7.15,73.82,48.68,2.66,18796.34,2354.3,1429.56,23464.79,3387.12,315734.98,3788819.72,87.39
SIM_00058,plastics,madhya_pradesh,0.83,5.3,31013.15,25740.91,7.8,71.89,24.95,0.71,18018.64,1203.98,367.35,20626.47,5114.45,234684.76,2816217.16,80.13
SIM_00059,paper,uttar_pradesh,0.85,4.8,19996.2,16996.77,6.76,12.99,56.0,2.73,2252.62,1359.96,928.05,4210.61,12786.16,93874.48,1126493.81,24.77
SIM_00060,plastics,karnataka,0.62,5.3,28276.19,17531.24,8.66,63.54,28.48,4.6,12197.11,1094.27,1611.18,13597.2,3934.04,228054.75,2736657.0,77.56
SIM_00061,plastics,delhi,0.72,4.9,22468.86,16177.58,7.7,54.04,5.32,6.9,9048.11,184.27,2232.63,10731.74,5445.84,113028.21,1356338.56,66.34
SIM_00062,paper,delhi,0.72,4.9,25185.47,18133.54,8.28,0.73,15.28,3.62,137.34,546.23,1314.55,1922.0,16211.54,33186.45,398237.42,10.6
SIM_00063,it_services,telangana,0.74,5.2,5229.47,3869.81,8.94,58.13,49.98,3.76,2429.6,241.05,290.76,2818.19,1051.62,42503.84,510046.12,72.83
SIM_00064,food_processing,kerala,0.42,4.2,5086.94,2136.51,6.56,50.46,43.74,7.7,1002.65,421.55,329.16,1827.03,309.48,34627.77,415533.27,85.51
SIM_00065,pharma,jharkhand,0.89,4.6,13270.51,11810.75,8.57,29.75,37.35,7.92,3479.12,601.92,1870.96,5798.16,6012.59,72522.19,870266.32,49.09
SIM_00066,auto_components,telangana,0.74,5.2,35096.05,25971.08,8.06,14.24,20.01,2.82,3992.98,702.32,1463.94,6303.14,19667.94,83563.74,1002764.9,24.27
SIM_00067,paper,kerala,0.42,4.2,19964.09,8384.92,8.41,61.05,56.39,2.26,4760.78,1509.0,378.77,7447.19,937.73,159993.99,1919927.9,88.82
SIM_00068,steel,tamil_nadu,0.68,5.0,35340.36,24031.45,7.32,27.05,41.11,5.88,6826.03,1862.98,2826.23,11345.06,12686.39,172596.97,2071163.66,47.21
SIM_00069,it_services,andhra_pradesh,0.72,5.4,2700.73,1944.53,8.04,5.33,54.7,2.78,115.06,413.18,108.1,636.07,1308.46,22124.52,265494.23,32.71
SIM_00070,plastics,west_bengal,0.9,4.5,16765.47,15088.92,8.32,3.96,41.56,5.71,583.09,1082.28,1722.32,3368.03,11720.9,71042.07,852504.84,22.32
SIM_00071,food_processing,punjab,0.76,5.0,12949.11,9841.33,7.44,43.21,11.54,0.08,4465.42,214.41,15.31,4493.99,5347.34,54664.43,655973.2,45.66
SIM_00072,steel,tamil_nadu,0.68,5.0,24432.79,16614.3,6.66,6.16,35.0,3.93,1074.91,888.93,1307.36,2914.16,13700.14,57286.74,687440.83,17.54
SIM_00073,pharma,maharashtra,0.79,5.1,5437.19,4295.38,7.82,73.41,13.6,2.42,3006.77,82.56,207.65,3131.55,1163.83,34680.16,416161.87,72.9
SIM_00074,paper,chhattisgarh,0.92,4.9,23467.71,21590.29,6.96,27.94,32.64,6.7,6242.6,1172.33,2892.78,10253.42,11336.87,120777.26,1449327.08,47.49
